leaf_categ_id	site_id	gpc_id
164127	2	3865
31378	3	216
181080	186	5122
33863	0	5504
362	15	216
181094	3	5122
41916	0	974
4352	77	388
31812	186	5975
131520	3	289
31519	2	5181
63504	2	4222
66795	2	505303
64652	0	500067
86534	2	4738
34229	2	916
170149	100	916
164796	186	6919
62119	2	1016
26213	77	4155
178183	0	278
4428	0	784
2605	0	6058
41484	2	112
181234	2	7100
124101	2	4977
48899	2	7313
98535	2	5124
119031	0	62
110404	0	197
180927	71	5992
42886	2	7499
508	3	188
140697	2	2550
177789	15	3530
56163	0	7347
165444	2	216
38093	2	2917
31751	3	6104
2425	2	3584
92726	2	191
95134	0	8269
20178	0	4468
39479	0	217
20369	0	7347
20286	0	216
168199	0	5663
39473	0	217
162192	2	217
147347	2	182
146493	2	6030
66476	100	2989
75067	15	521
163369	0	182
118943	0	4475
35767	101	216
73240	2	0
79736	0	178
12620	0	0
73899	0	3747
6052	100	916
6011	2	916
100848	0	3712
44968	0	291
42097	0	0
180261	101	6000
24733	0	1097
36329	2	503729
11847	101	479
40945	0	4507
81063	0	5150
67076	2	6714
20115	2	675
31403	15	6382
33993	0	505399
124120	2	916
29225	101	784
67071	2	7261
50859	3	499978
62179	2	499845
177954	3	8231
50493	0	149
181362	2	1013
97930	15	298
57940	0	1604
163615	2	5207
181387	0	1013
40029	15	217
41929	0	7117
2549	186	1246
2305	186	8
139781	2	505670
3341	101	149
72773	2	479
177733	2	1901
165336	0	3865
46454	2	3530
7319	0	5971
43659	186	245
177652	77	217
19162	0	6382
39973	101	1623
180270	186	5971
38189	2	4171
157005	2	4333
162087	0	503758
2325	77	216
11932	0	8
181238	3	7100
80271	0	5300
75593	77	499908
43258	0	7347
2511	0	5971
41746	0	0
64628	2	241
79625	0	605
47579	186	7100
891	2	3865
6417	2	916
35657	0	3893
3883	2	417
24973	2	1097
150019	0	188
39747	0	242
175775	15	1604
45453	3	576
1453	0	7278
10969	0	5124
75657	0	984
82636	3	5300
38491	0	0
36042	2	220
53297	0	1470
48706	0	3676
159783	2	479
7891	15	5831
773	3	5970
180159	71	2550
10950	2	3865
180050	100	916
102398	2	7097
50271	2	6058
33741	2	916
52437	2	1772
89161	2	2987
167951	2	217
114140	0	486
134623	3	505286
168118	0	3865
152376	2	7068
71301	2	499865
15749	2	212
10848	0	5
592	2	3553
26478	101	784
177978	15	2727
36015	0	576
1645	2	6853
146290	2	502979
181177	3	7099
44914	15	7217
1096	77	784
2608	186	6997
27970	186	3769
116295	2	500052
103433	71	3553
152862	2	5123
43549	2	2918
3030	15	2271
168074	0	295
52599	0	194
74933	77	305
152499	0	1604
31690	186	3603
47342	0	3106
3580	3	1270
52612	2	5122
20789	101	6501
75664	71	628
41869	0	317
115764	0	6456
165749	2	3977
24760	0	499744
80014	0	317
7810	0	784
74706	0	216
50529	2	149
21243	2	1158
98487	2	200
64668	0	3791
70984	3	596
164415	2	191
33741	100	916
1556	71	6000
42352	2	2918
6167	2	916
110447	0	6540
2382	0	245
58120	2	3376
4149	3	6000
75435	0	7347
13923	2	668
67711	0	5122
151236	101	143
10024	0	505827
51973	71	213
1124	3	784
178917	100	8227
66942	2	114
16219	101	60
40039	0	216
31517	0	300
104016	0	3893
25258	0	1470
47286	2	5594
60302	0	6997
2292	101	8
177741	15	1901
173681	2	8448
38070	77	245
26354	2	7253
59280	2	6914
20319	15	505299
25078	2	499778
43910	100	8260
156501	2	216
36411	15	476
116868	0	8271
69163	71	5122
67422	15	4775
10270	71	5122
1248	0	5302
14191	0	5971
1064	77	1604
33902	0	1270
55849	2	505808
118701	77	479
13615	2	2628
181285	15	61
181220	77	3324
1004	2	216
18904	15	499879
28172	77	6164
29341	0	784
518	2	216
67215	2	5863
16476	3	6058
146050	2	6056
115748	0	4171
20677	0	4519
152659	0	5344
83110	0	990
152575	0	5598
29609	0	479
159025	2	499840
50733	15	173
181121	77	702
1035	0	3584
1336	2	216
11764	2	5864
4728	2	3893
94947	0	984
15053	3	243
30092	2	4638
113469	0	197
69855	2	4491
51225	0	331
162040	3	6349
180523	2	916
152621	15	208
73110	0	2380
162057	71	219
6749	0	6044
1093	3	784
158867	2	291
7007	100	916
90838	2	3865
156572	0	7117
43250	0	2353
4766	77	216
92847	2	5123
3003	15	3913
180270	71	5971
43148	2	192
