leaf_categ_id,site_id,move_to,leaf_categ_name
101927,0,101926,Health & Beauty:Skin Care:Night Cream:Avon
101928,0,101926,Health & Beauty:Skin Care:Night Cream:Mary Kay
101929,0,101926,Health & Beauty:Skin Care:Night Cream:Other
10192,0,10192,Jewelry & Watches:Loose Diamonds & Gemstones:Loose Gemstones:Amethyst
101930,0,112661,Health & Beauty:Fragrances:Men:Adidas
101931,0,112661,Health & Beauty:Fragrances:Men:Alfred Sung
101933,0,112661,Health & Beauty:Fragrances:Men:DKNY
101934,0,112661,Health & Beauty:Fragrances:Men:Gap
101935,0,112661,Health & Beauty:Fragrances:Men:Hermes
101936,0,112661,Health & Beauty:Fragrances:Men:Lucky
101937,0,112661,Health & Beauty:Fragrances:Men:Salvatore Ferragamo
101938,0,112661,Health & Beauty:Fragrances:Men:Thierry Mugler
101939,0,112661,Health & Beauty:Fragrances:Men:Victoria's Secret
101941,0,112661,Health & Beauty:Fragrances:Women:Body Shop
101942,0,112661,Health & Beauty:Fragrances:Women:Britney Spears
101943,0,112661,Health & Beauty:Fragrances:Women:Celine Dion
101944,0,112661,Health & Beauty:Fragrances:Women:Charlie
101945,0,112661,Health & Beauty:Fragrances:Women:Hanae Mori
101946,0,112661,Health & Beauty:Fragrances:Women:Jessica Simpson
101947,0,112661,Health & Beauty:Fragrances:Women:Lacoste
101948,0,112661,Health & Beauty:Fragrances:Women:Moschino
101949,0,112661,Health & Beauty:Fragrances:Women:Prada
10194,0,10192,Jewelry & Watches:Loose Diamonds & Gemstones:Gemstones:Amethyst:Cabochon
101950,0,112661,Health & Beauty:Fragrances:Women:Salvatore Ferragamo
101951,0,112661,Health & Beauty:Fragrances:Women:Stella McCartney
101952,0,112661,Health & Beauty:Fragrances:Women:Tiffany
101958,0,11869,Health & Beauty:Makeup:Mascara:Maybelline
10195,0,10192,Jewelry & Watches:Loose Diamonds & Gemstones:Gemstones:Amethyst:Emerald
101960,0,107876,Health & Beauty:Nail:Nail Art:Foil
101961,0,107876,Health & Beauty:Nail:Nail Art:Glitter
101962,0,107876,Health & Beauty:Nail:Nail Art:Paint
101963,0,107876,Health & Beauty:Nail:Nail Art:Stickers
101964,0,36440,"Health & Beauty:Medical, Special Needs:Incontinence Aids:Diapers/Pads"
101965,0,1279,Health & Beauty:Natural & Homeopathic Remedies:Herbal
